model,split,season,metric,value
persistence,val,all,mae_masked,80.78560095011876
persistence,val,all,rmse_masked,130.21379301153664
persistence,val,all,mape_masked,24.20733824091861
persistence,val,all,mae_unmasked,39.12159435261707
persistence,val,all,rmse_unmasked,90.527235016544
persistence,val,all,n_hours_masked,4210.0
persistence,val,all,n_hours_total,8712.0
persistence,val,all,n_forecast_days,363.0
persistence,val,all,skill_score_masked,0.0
persistence,val,all,skill_score_unmasked,0.0
persistence,val,wet,mae_masked,89.7153629032258
persistence,val,wet,rmse_masked,148.69372538093626
persistence,val,wet,mape_masked,28.44539619874779
persistence,val,wet,mae_unmasked,43.60706043418737
persistence,val,wet,rmse_unmasked,103.56325329693038
persistence,val,wet,n_hours_masked,2480.0
persistence,val,wet,n_hours_total,5113.0
persistence,val,wet,n_forecast_days,363.0
persistence,val,wet,skill_score_masked,0.0
persistence,val,wet,skill_score_unmasked,0.0
persistence,val,dry,mae_masked,67.9845549132948
persistence,val,dry,rmse_masked,97.81085563060346
persistence,val,dry,mape_masked,18.13197191986868
persistence,val,dry,mae_unmasked,32.749216449013616
persistence,val,dry,rmse_unmasked,67.82802970977065
persistence,val,dry,n_hours_masked,1730.0
persistence,val,dry,n_hours_total,3599.0
persistence,val,dry,n_forecast_days,363.0
persistence,val,dry,skill_score_masked,0.0
persistence,val,dry,skill_score_unmasked,0.0
persistence,val,all,mae_masked_hour_06,10.29405109489051
persistence,val,all,rmse_masked_hour_06,13.921399153086663
persistence,val,all,mae_masked_hour_07,36.99537190082645
persistence,val,all,rmse_masked_hour_07,51.15360778607586
persistence,val,all,mae_masked_hour_08,65.4604958677686
persistence,val,all,rmse_masked_hour_08,95.83797283391694
persistence,val,all,mae_masked_hour_09,86.21272727272726
persistence,val,all,rmse_masked_hour_09,134.80524415537636
persistence,val,all,mae_masked_hour_10,101.77176308539946
persistence,val,all,rmse_masked_hour_10,160.38119088536274
persistence,val,all,mae_masked_hour_11,118.98548209366392
persistence,val,all,rmse_masked_hour_11,178.9216989806315
persistence,val,all,mae_masked_hour_12,131.87873278236913
persistence,val,all,rmse_masked_hour_12,189.20187676050406
persistence,val,all,mae_masked_hour_13,124.56413223140495
persistence,val,all,rmse_masked_hour_13,177.39078016360475
persistence,val,all,mae_masked_hour_14,111.72101928374654
persistence,val,all,rmse_masked_hour_14,152.49407973424573
persistence,val,all,mae_masked_hour_15,86.25363636363636
persistence,val,all,rmse_masked_hour_15,115.40247417627367
persistence,val,all,mae_masked_hour_16,50.60545454545455
persistence,val,all,rmse_masked_hour_16,66.80831684753029
persistence,val,all,mae_masked_hour_17,17.457156862745098
persistence,val,all,rmse_masked_hour_17,24.162346084365517
persistence,val,all,mae_masked_month_01,62.72381097560976
persistence,val,all,rmse_masked_month_01,92.48466693780954
persistence,val,all,mae_masked_month_02,78.21051948051947
persistence,val,all,rmse_masked_month_02,104.9651788643547
persistence,val,all,mae_masked_month_03,61.060054945054944
persistence,val,all,rmse_masked_month_03,87.40630372129793
persistence,val,all,mae_masked_month_04,72.69333333333334
persistence,val,all,rmse_masked_month_04,108.59723771297726
persistence,val,all,mae_masked_month_05,66.3664054054054
persistence,val,all,rmse_masked_month_05,94.80220736824587
persistence,val,all,mae_masked_month_06,127.42474860335194
persistence,val,all,rmse_masked_month_06,191.79640159066722
persistence,val,all,mae_masked_month_07,96.54080645161291
persistence,val,all,rmse_masked_month_07,147.68571265920042
persistence,val,all,mae_masked_month_08,118.9911051212938
persistence,val,all,rmse_masked_month_08,191.09161870162018
persistence,val,all,mae_masked_month_09,57.97075
persistence,val,all,rmse_masked_month_09,101.05905269939949
persistence,val,all,mae_masked_month_10,84.34897222222223
persistence,val,all,rmse_masked_month_10,149.4286195358469
persistence,val,all,mae_masked_month_11,89.47363636363636
persistence,val,all,rmse_masked_month_11,138.853811337789
persistence,val,all,mae_masked_month_12,48.801702127659574
persistence,val,all,rmse_masked_month_12,76.4779311394325
lstm,val,all,mae_masked,68.76407980772318
lstm,val,all,rmse_masked,101.02128461681642
lstm,val,all,mape_masked,23.693212630389116
lstm,val,all,mae_unmasked,37.022327099417375
lstm,val,all,rmse_unmasked,70.67593389503168
lstm,val,all,n_hours_masked,4210.0
lstm,val,all,n_hours_total,8712.0
lstm,val,all,n_forecast_days,363.0
lstm,val,all,skill_score_masked,0.2241890641503227
lstm,val,all,skill_score_unmasked,0.21928540198852275
lstm,val,wet,mae_masked,75.65628431895125
lstm,val,wet,rmse_masked,111.92269582584574
lstm,val,wet,mape_masked,27.795681191973355
lstm,val,wet,mae_unmasked,40.78457468121586
lstm,val,wet,rmse_unmasked,78.34953211587624
